Hotel_Name,Hotel_Address,Review_Count,Non_Review_Scoring_Count,Average_Hotel_Score,avg_hotel_feature,avg_room,avg_hotel,avg_breakfast,avg_staff,avg_bed,avg_location
Ritz Paris,15 Place Vend me 1st arr 75001 Paris France,122,21,9.8,7.630150073391709,7.800996061202848,7.740621681080261,8.129771957324165,7.740810031855186,,6.027511961722489
Hotel Casa Camper,Elisabets 11 Ciutat Vella 08001 Barcelona Spain,732,116,9.6,8.295255697351879,7.642991970913498,8.026445500822085,8.570162510006373,8.694906982488252,6.536438739196746,8.547857113646588
Hotel The Serras,Passeig de Colom 9 Ciutat Vella 08002 Barcelona Spain,604,102,9.6,8.290387031532948,7.732250078816887,8.20323203471764,7.912596545229307,8.548080227186187,4.530376207422471,8.39435252973617
H10 Casa Mimosa 4 Sup,Pau Claris 179 Eixample 08037 Barcelona Spain,454,56,9.6,8.203789217656139,8.06302664976433,8.244802226865836,7.9033821810152896,8.475498835829018,6.20958312150483,8.394262683736368
H tel de La Tamise Esprit de France,4 rue d Alger 1st arr 75001 Paris France,166,36,9.6,8.184680901252099,7.970205271928496,8.41104030749001,8.184317641705011,8.576672081205441,7.2998856126080325,7.851981990962255
Haymarket Hotel,1 Suffolk Place Westminster Borough London SW1Y 4HX United Kingdom,255,68,9.6,7.920203972490178,7.861994214440814,7.86873198300713,7.914459586457972,8.288594916654025,6.188535841382817,8.147577751196174
41,41 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom,244,66,9.6,7.907501302866869,7.485681073963153,7.989165182718593,7.521880329308149,8.285324824170452,4.9825876970005085,8.104572036150985
Milestone Hotel Kensington,1 Kensington Court Kensington and Chelsea London W8 5DL United Kingdom,209,40,9.5,8.321659057165776,7.627316568196737,8.331266910686288,8.286680579369056,8.427134423825656,6.2095831215048305,8.277253963786473
Charlotte Street Hotel,15 17 Charlotte Street Hotel Westminster Borough London W1T 1RJ United Kingdom,319,88,9.5,8.18012209038976,7.949685653688834,7.774064393622719,7.9702692372899,8.819169214684914,6.716827656329436,8.646065922381714
Taj 51 Buckingham Gate Suites and Residences,Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,310,81,9.5,8.144345078137516,7.958721882767482,8.153605927274565,8.046177377762046,8.417848137164162,6.547661413319776,8.461041334396599
Le Narcisse Blanc Spa,19 Boulevard De La Tour Maubourg 7th arr 75007 Paris France,222,38,9.5,8.09628077960951,7.73746149573297,8.068891578506962,7.51989368963948,8.376840160648372,,8.457617975419835
Mercer Hotel Barcelona,Dels Lledo 7 Ciutat Vella 08003 Barcelona Spain,362,67,9.5,8.072428982039183,7.708827588539568,7.675034015103684,7.929831869531321,8.574772694033094,6.050108032536858,8.075058119103614
The Soho Hotel,4 Richmond Mews Westminster Borough London W1D 3DH United Kingdom,385,107,9.5,8.054088290518258,8.132927039674122,7.99215431080261,8.025032540243066,8.507296388515734,6.864336553126589,7.732057416267943
Waldorf Astoria Amsterdam,Herengracht 542 556 Amsterdam City Center 1017 CG Amsterdam Netherlands,443,75,9.5,7.912167039025721,7.502154029692471,7.735482330937623,7.160287867618685,8.446553134615138,6.677999491611591,8.168009737261816
Ham Yard Hotel,One Ham Yard Westminster Borough London W1D 7DT United Kingdom,314,96,9.5,7.907363638809014,7.668197183433288,7.740063610872289,7.115838761279172,8.28931966425646,7.01906456532791,8.247317674351168
Hotel Sacher Wien,Philharmoniker Stra e 4 01 Innere Stadt 1010 Vienna Austria,632,60,9.5,7.862458159568045,7.7103512147847795,7.8323973493380645,7.865361980527324,7.898534461128374,5.839825876970004,8.078458931419458
Hotel The Peninsula Paris,19 avenue Kleber 16th arr 75116 Paris France,275,52,9.5,7.81610013366954,7.619393210624653,7.704321769474843,7.503387773676494,8.30221170597618,7.586807320793086,8.344298245614036
